Hierarchy,Action,Location,Items,Cadence,Description,Time,Condition,Equipment,Instructions
26,Cut,Vegetables,,Weekly,,,,,
27,Store,Vegetables,,Weekly,,,,,
21,Haircut,Side Burns and Stuff,,Weekly,,,,,
28,Open,Mail,,Weekly,,,,,
29,Respond,Mail,,Weekly,,,,,
30,Shred,Papers,,Weekly,,,,,
1,Pay,Rent,,Monthly,,,,,
2,Pay,Electric,,Monthly,,,,,
3,Pay,Internet,,Monthly,,,,,
4,Pay,Vendors,,Monthly,,,,,
5,Pay,Insurance,,Monthly,,,,,
31,Shopping,Groceries,,Weekly,,,,,
,Brush,Teeth,Crest,Evening,,,,,
,Wash,Face,Cereve Wash,Evening,,,,,
,Make,Coffee,,Morning,,,,,
,Apply,Lotion,Cereve SPF 15,Morning,,,,,
,Apply,Lotion,Cereve Nic,Evening,,,,,
,Apply,Lotion,Differin,Evening,,,,,
,Make,Espresso,,Morning,,,,,
,Prepare,Coffee Overnight,,Evening,,,,,
,Apply,Hair,Jojoba Oil,Evening,,,,,
,Apply,Hair,Salt Spray,Evening,,,,,
,Organize,Gym Bag,Toiletry Bag,Evening,,,,"JoJoba Oil, Toothpaste, Brush, Toothbrush, SPF, PM, Differin",
,Organize,Gym Bag,Flip Flops,Evening,,,,,
,Organize,Gym Bag,Dry Bag & Flip Flop Bag,Evening,,,,,
,Organize,Gym Bag,Clothing Bags,Evening,,,,,
,Organize,Gym Bag,Goggles,Evening,,,,,
,Organize,Gym Bag,Watch Timer,Evening,,,,,
,Organize,Gym Bag,Lock,Evening,,,,,
,Organize,Gym Bag,Gym Shoes,Evening,,,,,
,Organize,Backpack,Computer,Evening,,,,,
,Organize,Backpack,Notebook,Evening,,,,,
,Organize,Backpack,Papers or Books,Evening,,,,,
,Charge,Phone,,Evening,,,,,
,Charge,Laptop,,Evening,,,,,
,Charge,Headphones,,Evening,,,,,
,Shave,Face,,Evening,,,,,
,Brush,Teeth,,Morning,,,,,
,Write,Bullet Journal,,Morning,Tasks + Situations + Prayers + Stream of Consciousness + Gratefulness + Balances,,,,
,Clean,Leather Shoes,,Monthly,,,,,
,Apply,Lotion to Leather Shoes,,Monthly,,,,,
,Change,Car Oil,,Quarterly,,,,,
,Load,,,,,,,,
,Clean,Wahl Clippers,,Monthly,,,,,
,Clean,Wahl Clippers,,Monthly,,,,,
,Load,Folded Laundry in Bags,,,,,,,
,Fold,Laundry,,Weekly,,,,,
,Prepare,Protein Shakes for Week,Do this seven times,Weekly,Ziplock bag + 1 cup berries + 1 scoop protein + 2 tbspoons greek yogurt,,,,
,Make,Protein Shake,,Morning,,,,,
,Prepare,Supplements for Week,,,Paxil + NMN + Fish oil + vitamin D + Creatine,,,,
,Drink,Water,,Morning,,,,,
,Prepare,Lemon Juice for Week,,Weekly,Lemons + Electric Juice + mason jar,,,,
,Update,Calendar Activity Foundation,,,,,,,
,Update,Account Activity Foundation,,,,,,,
,Update,Healthinator,,,,,,,
,Update,Relationshippers,,,,,,,
,Review,,,,,,,,
,Review,,,,,,,,
,Review,,,,,,,,
,Review,,,,,,,,
,Contemplate,,,,,,,,
,Update,Goal/Task Machine,,,,,,,
,Switch,Kitchen,Microfiber Cloths,Daily,,,,,
,Wipe,Kitchen,Microfiber Cloths + Dawn Sprayer,Daily,,,,,
